"","Date","six-month","two-yr","five-yr","thirty-yr"
"123","02-08-2010",4.35,5.176,7.176,8.429
"124","02-08-2011",7.45,7.774,8.162,8.722
"125","02-08-2012",8.75,8.129,8.258,8.655
"126","02-08-2013",7.97,7.733,7.946,8.778
"127","02-08-2016",7.26,7.391,7.663,7.376
"128","02-08-2017",6.28,6.472,6.798,7.063
"129","02-08-2018",6.49,6.802,7.308,8.08
"130","02-08-2019",6.5,6.781,7.201,6.84
"131","02-09-2009",4.65,4.824,5.882,8.201
"132","02-09-2010",4.4,5.168,7.189,8.385
"133","02-09-2011",7.45,7.788,8.156,8.668
"134","02-09-2013",7.97,7.733,7.946,9.135
"135","02-09-2015",8.17,7.915,7.734,7.969
"136","02-09-2016",7.26,7.386,7.661,7.267
"137","02-10-2012",8.7,8.153,8.266,8.461
"138","02-11-2010",4.4,5.165,7.291,8.417
"139","02-11-2011",7.45,7.75,8.17,8.995
"140","02-11-2012",8.7,8.153,8.266,8.408
"141","02-11-2015",8.25,7.947,7.756,7.847
"142","02-11-2016",7.29,7.375,7.653,7.237
"143","02-12-2008",7.3,7.402,7.443,7.672
"144","02-12-2009",4.6,4.664,5.761,8.335
"145","02-12-2013",7.98,7.753,7.972,9.191
"146","02-12-2014",9.04,8.745,8.977,8.084
"147","02-12-2015",8.25,7.935,7.781,7.99
"148","02-12-2016",7.28,7.373,7.667,6.699
"149","02-12-2019",6.48,6.783,7.217,7.166
"150","03-01-2011",7.55,7.731,8.097,8.434
"151","03-01-2012",8.75,8.2,8.345,8.667
"152","03-01-2013",8.07,7.781,7.989,8.19
"153","03-01-2017",6.16,6.474,7.02,7.015
"154","03-01-2018",6.49,6.864,7.477,7.669
"155","03-01-2019",6.49,6.677,7.048,7.656
"156","03-02-2009",4.55,4.85,5.887,7.335
"157","03-02-2010",4.6,6.168,7.368,8.403
"158","03-02-2012",8.75,8.177,8.335,8.523
"159","03-02-2015",8.3,7.823,7.811,7.677
"160","03-02-2016",7.2,7.422,7.72,8.288
"161","03-02-2017",6.1,6.473,7.019,7.049
"162","03-03-2008",7.4,7.464,7.493,7.93
"163","03-03-2009",4.55,4.874,5.957,7.639
"164","03-03-2010",4.75,6.167,7.369,8.469
"165","03-03-2011",7.5,7.673,8.052,8.46
"166","03-03-2012",8.75,8.177,8.335,8.597
"167","03-03-2014",9.08,8.669,9.015,9.279
"168","03-03-2015",8.28,7.823,7.841,7.723
"169","03-03-2016",7.2,7.458,7.753,8.245
"170","03-03-2017",6.16,6.446,7.018,7.426
"171","03-04-2008",7.4,7.527,7.541,8.442
"172","03-04-2013",8.06,7.786,7.929,8.234
"173","03-04-2014",9.08,8.649,8.973,9.329
"174","03-05-2010",4.7,6.161,7.356,8.548
"175","03-05-2012",8.73,8.183,8.33,8.944
"176","03-05-2013",8.05,7.787,7.919,7.933
"177","03-05-2018",6.5,6.871,7.498,7.96
"178","03-05-2019",6.44,6.648,7.048,7.682
"179","03-06-2009",4.45,4.942,6.218,7.662
"180","03-06-2013",8.06,7.768,7.917,7.5
"181","03-06-2014",9.12,8.636,8.941,8.719
"182","03-06-2019",6.44,6.699,7.055,7.278
"183","03-07-2008",7.4,7.545,7.564,9.342
"184","03-07-2012",8.75,8.208,8.344,8.662
"185","03-07-2013",8.04,7.774,7.912,7.912
"186","03-07-2014",9.11,8.651,8.961,8.698
"187","03-07-2017",6.16,6.493,7.1,7.161
"188","03-07-2018",6.48,6.866,7.432,8.061
"189","03-07-2019",6.46,6.687,7.057,7.061
"190","03-08-2010",4.75,6.16,7.33,8.429
"191","03-08-2011",7.5,7.688,8.033,8.715
"192","03-08-2012",8.75,8.208,8.344,8.657
"193","03-08-2016",7.22,7.493,7.798,7.417
"194","03-08-2017",6.1,6.497,7.082,7.03
"195","03-08-2018",6.45,6.867,7.424,8.094
"196","03-09-2009",4.45,5.02,6.3,8.263
"197","03-09-2010",4.7,6.134,7.291,8.387
"198","03-09-2012",8.75,8.243,8.367,8.623
"199","03-09-2014",9.11,8.651,8.961,8.762
"200","03-09-2015",8.1,7.926,7.798,7.965
"201","03-09-2018",6.45,6.875,7.435,8.25
"202","03-10-2008",7.4,7.584,7.587,9.083
"203","03-10-2011",7.5,7.652,8.007,8.729
"204","03-10-2012",8.75,8.243,8.367,8.438
"205","03-10-2015",8.13,7.955,7.819,7.828
"206","03-10-2016",7.24,7.471,7.785,7.144
"207","03-10-2017",6.07,6.531,7.102,7.259
"208","03-11-2008",7.38,7.562,7.587,8.173
"209","03-11-2010",4.75,6.181,7.278,8.404
"210","03-11-2011",7.5,7.657,8.018,8.982
"211","03-11-2013",8.05,7.747,7.908,9.084
"212","03-11-2014",9.11,8.654,8.897,8.337
"213","03-11-2015",8.15,7.844,7.831,7.849
"214","03-11-2016",7.22,7.486,7.807,7.238
"215","03-12-2008",7.4,7.485,7.525,7.457
"216","03-12-2009",4.5,5.336,6.673,8.362
"217","03-12-2010",4.75,6.201,7.278,8.503
"218","03-12-2012",8.7,8.26,8.385,8.462
"219","03-12-2013",8.05,7.772,7.92,9.21
"220","03-12-2014",9.12,8.682,8.864,8.074
"221","03-12-2015",8.15,7.82,7.791,7.948
"222","03-12-2018",6.44,6.852,7.415,7.863
"223","03-12-2019",6.45,6.621,7.022,7.154
"224","04-02-2008",7.23,7.571,7.78,7.845
"225","04-02-2009",4.7,5.495,6.794,7.367
"226","04-02-2013",7.82,7.69,7.969,8.141
